id,label,node_type
n01,William Jennings Bryan,Subject
n02,Woman Suffrage,Event
n03,Prohibition,Event
n04,WCTU,Subject
n05,Liquor Interests,Subject
n06,Alabama Democrats,Subject
n07,Woman Voters,Subject
n08,Saloons,Target
n09,19th Amendment (Suffrage),Event
n10,Prohibition Enforcement,Event
n11,Abolished Liquor Interests,Subject
n12,Prohibition Ratifying States,Subject
n13,Woman Suffrage Amendment,Event
n14,Women,Subject
n15,Liquor Business,Target
n16,Two Largest Cities in State,Target
n17,Many Women,Subject
n18,Senators Opposing Prohibition,Subject
n19,Suffrage Movement,Event
n20,Prohibition Passage,Event
n21,Stability of US Govt and Institutions,Target
n22,Electorate,Target
n23,League of Women Voters and WCTU,Subject
n24,Presidential Candidate,Target
n25,Many Woman Voters,Subject
n26,Liquor Licenses,Target
n27,First Votes by Women,Event
n28,Total Votes of 1916,Target
